"","topic","term","beta"
"1",3,"michigan",0.000275146907332695
"2",3,"virus",0.00678964488584147
"3",3,"governors",0.00508930228305869
"4",3,"biden",0.000857410333540213
"5",3,"china",0.00390366189980924
"6",3,"secretary",0.00393346647847311
"7",3,"ohio",0.000241139795916346
"8",3,"ventilators",0.00363579540802697
"9",3,"trump",0.000864025654334912
"10",3,"remember",0.000880234488806858
"11",3,"united",0.00345322298796407
"12",3,"fauci",0.00287036743023713
"13",3,"deal",0.00132195480900216
"14",3,"call",0.00264109439961854
"15",3,"million",0.00405317060019924
"16",3,"minnesota",0.000106309904823598
"17",3,"russia",0.000508724569725715
"18",3,"test",0.00334343970801179
"19",3,"joe",0.000591923763433188
"20",3,"january",0.00175411342958936
"21",3,"election",0.00054545822064111
"22",3,"billion",0.00142667935798556
"23",3,"jersey",0.000898951819666096
"24",3,"testing",0.00560204808996202
"25",3,"vice",0.00281721247782534
"26",3,"week",0.00322839159254928
"27",3,"york",0.0030600217836988
"28",3,"iowa",0.000319960703423326
"29",3,"colorado",5.31549524117987e-05
"30",3,"carolina",0.000113879379523527
"31",3,"question",0.00385548039807757
"32",3,"tests",0.0036757440798726
"33",3,"wisconsin",5.72406439006902e-05
"34",3,"south",0.000576510097572535
"35",3,"bryan",0.00143518371511857
"36",3,"governor",0.00321401818068507
"37",3,"health",0.00434453638774895
"38",3,"border",0.000341995310997121
"39",3,"days",0.00319971280482514
"40",3,"north",0.000434768912890299
"41",3,"pennsylvania",0.000221694585388028
"42",3,"john",0.000353077550046592
"43",3,"party",0.000194657979259367
"44",3,"day",0.00320546450068655
"45",3,"guys",0.000159464857235396
"46",3,"beautiful",0.000352459201264846
"47",3,"business",0.00214036016081528
"48",3,"called",0.00227819265944211
"49",3,"money",0.00328852679594917
"50",3,"food",0.00138202876270677
"51",3,"farmers",0.00053085580230456
"52",3,"arizona",0.000120449437470572
"53",3,"won",0.000236218742482352
"54",3,"texas",0.000354176585099287
"55",3,"americans",0.00399097249896808
"56",3,"incredible",0.00343384175847559
"57",3,"there’s",0.00361453621795253
"58",3,"world",0.00408058409981948
"59",3,"left",0.00109973591284446
"60",3,"mike",0.00111625400064777
"61",3,"winning",0.000277308829185972
"62",3,"ago",0.00175277110063529
"63",3,"hell",0.000107521235749934
"64",3,"abbott",0.00154149361994217
"65",3,"ban",0.00153544094667846
"66",3,"democrats",0.00181724875778223
"67",3,"night",0.000788088554316574
"68",3,"healthcare",0.00143518371511857
"69",3,"ballots",1.34250658976263e-05
"70",3,"nevada",8.91836083300903e-13
"71",3,"hampshire",0.000106309904823598
"72",3,"bad",0.00124338263807938
"73",3,"weeks",0.00264033485700592
"74",3,"votes",3.05221817980071e-13
"75",3,"economy",0.00224616808017081
"76",3,"understand",0.00181487239949351
"77",3,"approved",0.0014165659316187
"78",3,"story",0.000365571990563787
"79",3,"jobs",0.000769244862365087
"80",3,"plane",5.31549524117987e-05
"81",3,"coronavirus",0.00398495705605698
"82",3,"machines",0.00106309904823597
"83",3,"wasn’t",0.00164780352476576
"84",3,"care",0.00144266134723269
"85",3,"vote",0.000187219961582717
"86",3,"wall",1.82031217617079e-19
"87",3,"jason",8.67666177572676e-150
"88",3,"news",0.00116036095645302
"89",3,"acting",0.000956789143412378
"90",3,"summer",0.000903634191000579
"91",3,"authority",0.00143327782678698
"92",3,"heard",0.00170515347924354
"93",3,"i’ll",0.0022856629537072
"94",3,"steve",0.00122256390547137
"95",3,"total",0.00127411820158709
"96",3,"tax",0.000633757207570758
"97",3,"police",2.87715223214756e-20
"98",3,"happy",0.00211889670180042
"99",3,"fake",0.0009158335431286
